user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
Apfel1,3.6666666666666665,3.6666666666666665,4.666666666666667,6.333333333333333,5.333333333333333
Aragorn,4.666666666666667,5.0,4.333333333333333,6.666666666666667,5.0
BestimmtKeinBot,4.333333333333333,3.3333333333333335,4.0,4.0,5.666666666666667
CaptainMagma,5.0,4.0,3.0,4.666666666666667,3.6666666666666665
Chatbot,6.0,5.333333333333333,3.3333333333333335,5.666666666666667,6.666666666666667
ChatterBot,4.333333333333333,6.666666666666667,3.6666666666666665,4.0,5.666666666666667
EM2021,2.6666666666666665,2.6666666666666665,3.6666666666666665,2.6666666666666665,4.0
EM2022,2.3333333333333335,3.6666666666666665,2.6666666666666665,2.6666666666666665,4.666666666666667
Felix64,4.666666666666667,5.333333333333333,4.666666666666667,6.333333333333333,4.0
Gandalf,5.333333333333333,4.666666666666667,4.333333333333333,6.333333333333333,4.666666666666667
Grottenolm,6.0,4.333333333333333,1.6666666666666667,4.666666666666667,5.666666666666667
Hermelin,6.333333333333333,4.333333333333333,4.0,3.3333333333333335,3.3333333333333335
Hurz369,6.333333333333333,3.6666666666666665,6.666666666666667,5.666666666666667,5.0
Kaesetoast,5.666666666666667,6.0,4.666666666666667,5.333333333333333,6.333333333333333
Leroy,4.666666666666667,5.0,5.333333333333333,4.666666666666667,2.3333333333333335
MamaMiaPizzeria,6.0,3.0,4.333333333333333,4.666666666666667,4.0
MonkyMonk,5.666666666666667,4.0,4.333333333333333,6.666666666666667,4.666666666666667
Patti,6.333333333333333,6.333333333333333,5.333333333333333,6.0,4.0
Ragecrezz,6.0,5.666666666666667,6.0,6.0,3.3333333333333335
Sloth,5.333333333333333,5.333333333333333,4.0,6.0,4.0
SugarDaddy1977,2.3333333333333335,3.3333333333333335,6.666666666666667,4.0,1.0
TommyHilfiger,1.6666666666666667,2.0,3.0,3.0,4.333333333333333
Turing,6.0,4.333333333333333,6.0,6.0,4.333333333333333
VeganeWust,5.666666666666667,5.666666666666667,4.333333333333333,5.0,4.0
a_stranger,4.666666666666667,3.0,2.6666666666666665,4.666666666666667,4.333333333333333
albola,6.666666666666667,5.0,6.333333333333333,4.666666666666667,6.333333333333333
anolisechse,4.0,4.0,4.333333333333333,4.666666666666667,4.666666666666667
dude123,4.666666666666667,6.0,6.333333333333333,5.0,3.3333333333333335
grassroot,5.666666666666667,5.666666666666667,4.333333333333333,7.0,5.333333333333333
hallihallo,5.666666666666667,2.6666666666666665,5.333333333333333,3.6666666666666665,2.3333333333333335
huibuh,5.333333333333333,5.0,3.6666666666666665,4.0,6.0
isso,5.666666666666667,5.666666666666667,4.0,6.0,1.6666666666666667
jonathan,5.0,4.666666666666667,3.3333333333333335,5.333333333333333,6.333333333333333
maja,3.6666666666666665,4.0,4.333333333333333,4.0,3.6666666666666665
marinoo,5.333333333333333,6.666666666666667,5.666666666666667,5.666666666666667,3.6666666666666665
milkyway,3.3333333333333335,3.0,5.333333333333333,3.0,4.333333333333333
owolf,4.333333333333333,5.333333333333333,5.333333333333333,4.333333333333333,2.6666666666666665
phranz,6.666666666666667,5.333333333333333,4.333333333333333,6.0,4.333333333333333
testerman,5.333333333333333,6.333333333333333,5.666666666666667,6.666666666666667,1.3333333333333333
tmplxz,2.0,2.6666666666666665,2.0,1.3333333333333333,3.6666666666666665
turtle,4.0,2.6666666666666665,4.666666666666667,5.0,4.333333333333333
turtleneck,3.0,5.0,3.6666666666666665,4.666666666666667,5.666666666666667
